=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.23 11:33:07 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
IR,Red,(approx. 2 minutes of readings),,,"(test data only, data filtering/amplification may need tweaking)"
67696,72901,,,,
67694,72924,,,,
67691,72919,,,,
67700,72920,,,,
67682,72910,,,,
67679,72930,,,,
67678,72908,,,,
67697,72917,,,,
67700,72930,,,,
67706,72943,,,,
67687,72918,,,,
67688,72939,,,,
67699,72934,,,,
67698,72942,,,,
67692,72936,,,,
67684,72923,,,,
67694,72919,,,,
67692,72908,,,,
67709,72893,,,,
67692,72917,,,,
67678,72889,,,,
67682,72888,,,,
67675,72856,,,,
67659,72856,,,,
67672,72864,,,,
67667,72821,,,,
67652,72825,,,,
67660,72835,,,,
67645,72809,,,,
67636,72797,,,,
67632,72798,,,,
67618,72786,,,,
67608,72777,,,,
67606,72765,,,,
67624,72764,,,,
67638,72766,,,,
67614,72762,,,,
67616,72724,,,,
67621,72710,,,,
67623,72696,,,,
67623,72682,,,,
67626,72695,,,,
67593,72691,,,,
67599,72686,,,,
67594,72682,,,,
67591,72659,,,,
67588,72671,,,,
67564,72650,,,,
67593,72664,,,,
67572,72653,,,,
67574,72667,,,,
67588,72635,,,,
67585,72653,,,,
67586,72642,,,,
67596,72660,,,,
67592,72679,,,,
67577,72673,,,,
67585,72689,,,,
67583,72657,,,,
67595,72673,,,,
67593,72672,,,,
67597,72664,,,,
67596,72668,,,,
67577,72660,,,,
67602,72652,,,,
67592,72656,,,,
67564,72665,,,,
67592,72649,,,,
67590,72642,,,,
67583,72666,,,,
67572,72675,,,,
67574,72651,,,,
67595,72676,,,,
67573,72678,,,,
67588,72670,,,,
67576,72685,,,,
67574,72683,,,,
67577,72682,,,,
67592,72681,,,,
67590,72686,,,,
67588,72683,,,,
67596,72686,,,,
67599,72662,,,,
67601,72659,,,,
67592,72663,,,,
67601,72671,,,,
67575,72654,,,,
67590,72670,,,,
67585,72675,,,,
67579,72656,,,,
67586,72681,,,,
67602,72649,,,,
67597,72667,,,,
67583,72676,,,,
67578,72670,,,,
67564,72683,,,,
67576,72688,,,,
67590,72683,,,,
67587,72678,,,,
67599,72695,,,,
67606,72688,,,,
67581,72679,,,,
67612,72686,,,,
67595,72670,,,,
67604,72668,,,,
67604,72662,,,,
67607,72666,,,,
67597,72680,,,,
67596,72680,,,,
67599,72685,,,,
67569,72667,,,,
67585,72663,,,,
67588,72662,,,,
67584,72661,,,,
67597,72668,,,,
67575,72675,,,,
67579,72684,,,,
67565,72679,,,,
67614,72698,,,,
67589,72679,,,,
67590,72702,,,,
67596,72708,,,,
67613,72699,,,,
67623,72715,,,,
67609,72693,,,,
67602,72694,,,,
67619,72687,,,,
67613,72700,,,,
67610,72701,,,,
67603,72707,,,,
67609,72700,,,,
67595,72687,,,,
67587,72693,,,,
67602,72683,,,,
67595,72701,,,,
67599,72701,,,,
67587,72725,,,,
67596,72719,,,,
67583,72703,,,,
67608,72716,,,,
67581,72730,,,,
67622,72722,,,,
67605,72740,,,,
67601,72711,,,,
67609,72724,,,,
67615,72719,,,,
67603,72698,,,,
67610,72725,,,,
67604,72707,,,,
67610,72710,,,,
67592,72705,,,,
67601,72719,,,,
67595,72701,,,,
67590,72708,,,,
67595,72700,,,,
67605,72708,,,,
67606,72700,,,,
67584,72708,,,,
67599,72731,,,,
67588,72713,,,,
67600,72725,,,,
67607,72733,,,,
67601,72734,,,,
67587,72742,,,,
67616,72750,,,,
67622,72741,,,,
67636,72711,,,,
67630,72741,,,,
67624,72726,,,,
67619,72723,,,,
67595,72726,,,,
67601,72729,,,,
67614,72734,,,,
67613,72725,,,,
67604,72723,,,,
67594,72738,,,,
67599,72744,,,,
67608,72748,,,,
67593,72731,,,,
67576,72749,,,,
67600,72739,,,,
67605,72755,,,,
67604,72743,,,,
67609,72755,,,,
67607,72757,,,,
67601,72796,,,,
67635,72756,,,,
67627,72769,,,,
67642,72749,,,,
67619,72768,,,,
67633,72750,,,,
67615,72752,,,,
67603,72763,,,,
67624,72741,,,,
67636,72756,,,,
67620,72751,,,,
67611,72760,,,,
67611,72760,,,,
67614,72778,,,,
67612,72768,,,,
67610,72775,,,,
67619,72805,,,,
67627,72799,,,,
67607,72778,,,,
67629,72789,,,,
67612,72780,,,,
67637,72778,,,,
67635,72802,,,,
67644,72758,,,,
67641,72800,,,,
67653,72794,,,,
67628,72784,,,,
67626,72796,,,,
67634,72772,,,,
67619,72768,,,,
67614,72776,,,,
67633,72766,,,,
